产权,价格（万元）,区域,小区,年限,楼型,挂牌时间,朝向,楼层,装修情况,面积（平米）
70,123,西湖区,泊林漫谷,2015年建,暂无数据,201807,南,联排/共5层,平层/简装,89.5
70,500,西湖区,泊林漫谷,2008年建,暂无数据,201904,南 北,高楼层/共6层,精装,325.2
70,340,西湖区,泊林漫谷,2015年建,板塔结合,201903,南 北,中楼层/共33层,平层/精装,139.5
70,360,西湖区,泊林漫谷,2003年建,板楼,201902,南,中楼层/共11层,平层/精装,142.5
70,670,西湖区,泊林漫谷,2015年建,板楼,201905,南 北,联排/共1层,毛坯,259.33
70,235,西湖区,泊林漫谷,2015年建,板楼,201710,南,中楼层/共31层,平层/毛坯,86.98
70,388,西湖区,泊林漫谷,1998年建,板楼,201901,南,中楼层/共6层,平层/简装,142.92
70,700,西湖区,泊林漫谷,2011年建,板楼,201811,南,低楼层/共27层,平层/精装,254.48
70,250,西湖区,泊林漫谷,2015年建,板楼,201809,南 北,高楼层/共32层,平层/精装,90.48
70,520,西湖区,泊林漫谷,2011年建,板楼,201810,南,低楼层/共27层,平层/简装,183.82
70,723,西湖区,泊林漫谷,2011年建,板楼,201903,南,高楼层/共27层,平层/毛坯,254.48
70,260,西湖区,泊林漫谷,2015年建,板塔结合,201905,南,中楼层/共34层,平层/精装,89.02
70,260,西湖区,泊林漫谷,2009年建,板楼,201810,南,中楼层/共17层,平层/简装,88.25
70,340,西湖区,泊林漫谷,1998年建,板楼,201802,南,低楼层/共6层,平层/精装,115.2
70,380,西湖区,泊林漫谷,2009年建,板楼,201905,南,高楼层/共17层,平层/毛坯,128.29
70,650,西湖区,泊林漫谷,2015年建,板楼,201904,南,联排/共5层,精装,219.42
70,250,西湖区,泊林漫谷,1998年建,板楼,201904,南,中楼层/共5层,平层/精装,84
70,500,西湖区,泊林漫谷,2014年建,板楼,201808,南 北,中楼层/共11层,平层/毛坯,168
70,2500,西湖区,泊林漫谷,2015年建,暂无数据,201906,南 北,联排/共3层,毛坯,540.42
70,1040,西湖区,泊林漫谷,2011年建,暂无数据,201803,南,低楼层/共27层,平层/简装,210.46
70,500,西湖区,城北商贸园,2008年建,板楼,201803,南,中楼层/共6层,精装,214
70,480,西湖区,城北商贸园,2000年建,板楼,201803,南,低楼层/共3层,毛坯,175
70,158,西湖区,城北商贸园,2003年建,板楼,201904,南,中楼层/共11层,平层/精装,56.68
70,330,西湖区,城北商贸园,1996年建,板楼,201905,南,中楼层/共7层,平层/简装,115.48
70,410,西湖区,城北商贸园,2018年建,板楼,201702,南,低楼层/共34层,平层/简装,139.66
70,275,西湖区,都市阳光和苑,2008年建,板楼,201901,南,中楼层/共6层,平层/简装,140.45
70,288,西湖区,都市阳光和苑,2010年建,板楼,201905,南,低楼层/共12层,平层/简装,131.38
70,155,西湖区,都市阳光和苑,2009年建,板楼,201903,南 北,低楼层/共17层,简装,62.76
70,260,西湖区,都市阳光和苑,2008年建,板楼,201901,南 北,高楼层/共6层,平层/精装,91.53
70,1900,西湖区,都市阳光和苑,2012年建,板楼,201901,南,低楼层/共23层,其他,573.13
70,230,西湖区,墩莳家园,2003年建,板楼,201902,南,低楼层/共11层,平层/精装,111
70,450,西湖区,墩莳家园,2008年建,板楼,201804,南 北,高楼层/共6层,简装,186.21
70,305,西湖区,墩莳家园,1997年建,板楼,201807,南,中楼层/共6层,简装,116.07
70,430,西湖区,墩莳家园,2010年建,板楼,201808,南,高楼层/共17层,平层/简装,160.57
70,340,西湖区,墩莳家园,1997年建,板楼,201806,南 北,低楼层/共6层,平层/毛坯,120.56
70,238,西湖区,墩莳家园,未知年建,板楼,201804,东 南 北,低楼层/共27层,平层/毛坯,81.5
70,500,西湖区,翰墨香林苑,2015年建,塔楼,201806,南,联排/共5层,毛坯,219
70,215,西湖区,翰墨香林苑,2015年建,板楼,201904,南 北,低楼层/共32层,平层/简装,90.48
70,300,西湖区,翰墨香林苑,2015年建,板楼,201807,南,高楼层/共34层,平层/毛坯,122.24
70,220,西湖区,翰墨香林苑,2015年建,板楼,201802,南,中楼层/共31层,平层/精装,84.25
